State,Region,Presidential_Poll_R2020,Presidential_Vote_R2020,Presidential_Poll_D2020,Presidential_Vote_D2020,Presidential_Poll_R2016,Presidential_Vote_R2016,Presidential_Poll_D2016,Presidential_Vote_D2016
national,,43.4,47.4,51.8,50.8,41.8,45.9,45.7,48
AL,SE,57.4,62.1,37.8,36.5,58.2,62.1,35.8,34.4
AK,FW,51.2,55.9,43.6,40.3,48.3,51.3,40.9,36.6
AZ,SW,46.1,49.06,48.7,49.4,47.6,48.1,45.4,44.6
AR,SE,58.9,62.7,36.2,34.5,57,60.6,36.3,33.7
CA,FW,32.4,33.8,61.6,64.1,35.5,31.5,58.5,61.5
CO,RM,41.1,41.9,53.6,55.4,43.6,43.3,47.7,48.2
CT,NE,32.4,40.1,58.6,58.3,40.2,40.9,52.8,54.6
DE,ME,34.6,39.8,58.9,58.8,40.4,41.7,52.9,53.1
DC,ME,5.8,5.6,90.8,92.2,12.4,4.1,82.9,90.9
FL,SE,46.6,51.2,49.1,47.8,47.5,48.6,48.1,47.4
GA,SE,47.4,49.23,48.5,49.51,49.5,50.4,45.5,45.3
HI,FW,30,34.3,64.3,63.7,34.1,30,57.9,62.2
ID,RM,56.6,63.1,38.5,33.8,55.5,59.2,35.9,27.5
IL,GL,39,42.3,55,55.9,40.7,38.4,53.6,55.2
IN,GL,52.9,58.9,42,38.9,52,56.5,40.4,37.5
IA,PL,47.6,52.7,46.3,45.4,48,51.1,45.1,41.7
KS,PL,53.9,56.6,41,40.8,51.5,56.2,39,35.7
KY,SE,55.6,62.7,39.9,35.6,56.1,62.5,37.9,32.7
LA,SE,57.6,58.5,37.1,39.8,55.5,58.1,39.4,38.4
ME,NE,40.3,43.5,53.3,53.5,42,44.9,49.5,47.8
MD,ME,31.6,35.1,63.1,63.1,34.1,33.9,59.8,60.3
MA,NE,28.9,31.3,64.6,66.5,34.6,32.8,58,60
MI,GL,43.2,47.9,51.2,50.5,44.2,47.3,48.4,47
MN,PL,42.6,45.4,51.7,52.6,43.1,44.9,48.9,46.4
MS,SE,55.5,59.3,39.6,39.2,54.5,57.9,41.4,40.1
MO,PL,51.6,56.9,43.6,41.3,51.4,56.4,41.4,37.9
MT,RM,49.8,55.7,45.4,41.5,52.1,55.6,37.1,35.4
NE,PL,52.1,57.7,42.5,40.2,54.4,58.7,36.5,33.7
NV,FW,44.4,48.7,49.7,49.3,45.9,45.5,47.1,47.9
NH,NE,42.8,45,53.9,53.1,43.9,46.5,47.5,46.8
NJ,ME,37.9,37.9,58.4,60.8,42,41,53.5,55
NM,SW,42.1,43.8,53.9,54,39.9,40,45.7,48.3
NY,ME,32.9,40.4,62.3,58.3,37.8,36.5,56.8,59
NC,SE,47.1,50,48.9,48.7,47.5,49.8,48.2,46.2
ND,PL,56,65,38.7,31.7,57.2,63,34.1,27.2
OH,GL,47.5,53.3,46.8,45.2,47.7,51.3,45.8,43.2
OK,SW,59.2,65.4,36.2,32.3,59.2,65.3,33.2,28.9
OR,FW,37.4,39.9,58.7,57.1,41.8,39.1,50.9,50.1
PA,ME,45.6,48.96,50.2,49.77,45.2,48.2,48.9,47.5
RI,NE,32.4,39.3,62.9,59.2,39.6,38.9,54,54.4
SC,SE,51.6,55.6,44.5,42.9,50.8,54.9,43.8,40.7
SD,PL,54.5,64,39,33.3,53,65.1,37.5,31.7
TN,SE,55.1,60.7,41.4,37.4,53.1,60.7,41.1,34.7
TX,SW,48.6,52.2,47.4,46.3,51,52.2,42.5,43.2
UT,RM,51.4,58.1,40.3,38.3,37.3,45.1,26.7,27.2
VT,NE,27.8,31.7,66.5,64.9,32.8,30.3,60.2,56.7
VA,SE,41.9,44.7,53.7,53.7,44.3,44.4,49.8,49.8
WA,FW,36.4,36.7,59.4,60.9,39.9,36.8,53.2,52.5
WV,SE,62.1,68.6,33.5,29.6,59.8,67.9,33.3,26.2
WI,GL,43.7,48.83,52.1,49.46,44.3,47.2,49.6,46.5
WY,RM,62.3,69.9,30.8,26.6,62.4,68.2,27.4,21.9
